"","jurisdiction","jurtype"
"1","Alberta","subnat_can"
"2","Argentina","country"
"3","Australia","country"
"4","Austria","country"
"5","Beijing Municipality","subnat_chn"
"6","Belgium","country"
"7","British Columbia","subnat_can"
"8","Bulgaria","country"
"9","California","subnat_usa"
"10","Chile","country"
"11","China","country"
"12","Chongqing Municipality","subnat_chn"
"13","Colombia","country"
"14","Connecticut","subnat_usa"
"15","Croatia","country"
"16","Cyprus","country"
"17","Czech Republic","country"
"18","Delaware","subnat_usa"
"19","Denmark","country"
"20","Estonia","country"
"21","Finland","country"
"22","France","country"
"23","Fujian Province","subnat_chn"
"24","Germany","country"
"25","Greece","country"
"26","Guangdong Province","subnat_chn"
"27","Hubei Province","subnat_chn"
"28","Hungary","country"
"29","Iceland","country"
"30","Ireland","country"
"31","Italy","country"
"32","Japan","country"
"33","Kazakhstan","country"
"34","Korea, Rep.","country"
"35","Latvia","country"
"36","Liechtenstein","country"
"37","Lithuania","country"
"38","Luxembourg","country"
"39","Maine","subnat_usa"
"40","Malta","country"
"41","Manitoba","subnat_can"
"42","Maryland","subnat_usa"
"43","Massachusetts","subnat_usa"
"44","Mexico","country"
"45","Netherlands","country"
"46","New Brunswick","subnat_can"
"47","New Hampshire","subnat_usa"
"48","New Jersey","subnat_usa"
"49","New York","subnat_usa"
"50","New Zealand","country"
"51","Newfoundland and Labrador","subnat_can"
"52","Northwest Territories","subnat_can"
"53","Norway","country"
"54","Nova Scotia","subnat_can"
"55","Nunavut","subnat_can"
"56","Ontario","subnat_can"
"57","Poland","country"
"58","Portugal","country"
"59","Prince Edward Island","subnat_can"
"60","Quebec","subnat_can"
"61","Rhode Island","subnat_usa"
"62","Romania","country"
"63","Saskatchewan","subnat_can"
"64","Shanghai Municipality","subnat_chn"
"65","Shenzhen","subnat_chn"
"66","Singapore","country"
"67","Slovak Republic","country"
"68","Slovenia","country"
"69","South Africa","country"
"70","Spain","country"
"71","Sweden","country"
"72","Switzerland","country"
"73","Tianjin Municipality","subnat_chn"
"74","Ukraine","country"
"75","United Kingdom","country"
"76","Vermont","subnat_usa"
"77","Virginia","subnat_usa"
"78","Yukon","subnat_can"
